Timestamp,Iteration,L_Pitch,L_Roll,R_Pitch,R_Roll,,,,
12-06-2023 17:36:00.566,2332,16,2,16,-5,,,,
12-06-2023 17:36:00.587,2333,16,2,16,-5,,,,
12-06-2023 17:36:00.608,2334,16,2,17,-4,,,,
12-06-2023 17:36:00.629,2335,16,1,18,-5,,,,
12-06-2023 17:36:00.647,2336,16,2,22,-5,,,,
12-06-2023 17:36:00.666,2337,16,2,24,-5,,,,
12-06-2023 17:36:00.684,2338,16,1,28,-6,,,,
12-06-2023 17:36:00.704,2339,16,2,31,-4,,,,
12-06-2023 17:36:00.727,2340,16,2,33,-4,,,,
12-06-2023 17:36:00.745,2341,16,2,35,-3,,,,
12-06-2023 17:36:00.766,2342,16,1,37,-2,,,,
12-06-2023 17:36:00.784,2343,16,1,39,-2,,,,
12-06-2023 17:36:00.808,2344,16,1,39,-1,,,,
12-06-2023 17:36:00.826,2345,16,1,44,0,,,,
12-06-2023 17:36:00.845,2346,16,1,51,1,,,,
12-06-2023 17:36:00.864,2347,16,1,63,5,,,,
12-06-2023 17:36:00.887,2348,16,0,69,9,,,,
12-06-2023 17:36:00.906,2349,16,0,71,10,,,,
12-06-2023 17:36:00.928,2350,16,0,72,11,,,,
12-06-2023 17:36:00.946,2351,16,0,77,8,,,,
12-06-2023 17:36:00.965,2352,16,0,83,5,,,,
12-06-2023 17:36:00.985,2353,16,0,87,-1,,,,
12-06-2023 17:36:01.008,2354,16,0,86,1,,,,
12-06-2023 17:36:01.025,2355,16,0,85,2,,,,
12-06-2023 17:36:01.044,2356,16,0,80,6,,,,
12-06-2023 17:36:01.065,2357,16,0,75,7,,,,
12-06-2023 17:36:01.084,2358,16,0,72,7,,,,
12-06-2023 17:36:01.107,2359,15,0,65,8,,,,
12-06-2023 17:36:01.127,2360,16,1,58,9,,,,
12-06-2023 17:36:01.144,2361,17,3,54,10,,,,
12-06-2023 17:36:01.166,2362,17,7,48,7,,,,
12-06-2023 17:36:01.185,2363,17,9,41,4,,,,
12-06-2023 17:36:01.210,2364,17,8,38,3,,,,
12-06-2023 17:36:01.225,2365,17,8,33,3,,,,
12-06-2023 17:36:01.249,2366,17,8,30,4,,,,
12-06-2023 17:36:01.267,2367,16,6,29,4,,,,
12-06-2023 17:36:01.285,2368,16,0,28,4,,,,
12-06-2023 17:36:01.307,2369,15,1,30,4,,,,
12-06-2023 17:36:01.324,2370,16,0,31,4,,,,
12-06-2023 17:36:01.345,2371,15,1,37,2,,,,
12-06-2023 17:36:01.363,2372,15,1,38,2,,,,
12-06-2023 17:36:01.384,2373,15,0,37,5,,,,
12-06-2023 17:36:01.408,2374,15,-1,34,-3,,,,
12-06-2023 17:36:01.423,2375,16,-3,30,2,,,,
12-06-2023 17:36:01.444,2376,16,-6,32,1,,,,
12-06-2023 17:36:01.464,2377,17,-5,35,-1,,,,
12-06-2023 17:36:01.484,2378,18,-1,37,-4,,,,
12-06-2023 17:36:01.507,2379,18,0,39,-3,,,,
12-06-2023 17:36:01.527,2380,17,1,42,-4,,,,
12-06-2023 17:36:01.547,2381,17,1,41,-2,,,,
12-06-2023 17:36:01.566,2382,17,3,41,-3,,,,
12-06-2023 17:36:01.585,2383,16,2,41,-3,,,,
12-06-2023 17:36:01.608,2384,17,2,45,-1,,,,
12-06-2023 17:36:01.626,2385,16,3,50,0,,,,
12-06-2023 17:36:01.645,2386,17,2,61,1,,,,
12-06-2023 17:36:01.667,2387,17,1,67,2,,,,
12-06-2023 17:36:01.685,2388,17,1,68,2,,,,
12-06-2023 17:36:01.708,2389,16,1,71,4,,,,
12-06-2023 17:36:01.725,2390,16,1,74,5,,,,
12-06-2023 17:36:01.747,2391,16,1,73,4,,,,
12-06-2023 17:36:01.765,2392,16,0,72,1,,,,
12-06-2023 17:36:01.787,2393,16,0,83,-2,,,,
12-06-2023 17:36:01.804,2394,16,1,81,-2,,,,
12-06-2023 17:36:01.828,2395,16,1,74,0,,,,
12-06-2023 17:36:01.848,2396,16,1,70,2,,,,
12-06-2023 17:36:01.866,2397,16,2,67,2,,,,
12-06-2023 17:36:01.886,2398,16,2,61,1,,,,
12-06-2023 17:36:01.905,2399,16,2,55,-2,,,,
